role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
EXCLUDED,15043,54,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:05:11.045219,2026-07-31 00:04:53.909783,2026-07-31 00:04:53.909783
EXCLUDED,18299,54,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_ALL_ACTIVE_MEMBERSHIPS_FOREIGN,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:55.065309,2026-09-03 12:08:37.949829,2026-09-03 12:08:37.949829
EXCLUDED,5231,58,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:06.944710,2026-05-01 13:15:38.928230,2026-05-31 01:03:06.925841
EXCLUDED,9896,58,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.036976,2026-05-31 00:03:11.012511,2026-05-31 00:03:11.012511
EXCLUDED,13249,58,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.627827,2026-06-30 00:20:13.600665,2026-06-30 00:20:13.600665
EXCLUDED,15054,58,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.178594,2026-07-31 00:04:54.134130,2026-07-31 00:04:54.134130
EXCLUDED,18310,58,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.169300,2026-09-03 12:08:38.133743,2026-09-03 12:08:38.133743
EXCLUDED,5213,62,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.006464,2026-05-01 12:25:01.307908,2026-05-31 01:03:06.987527
EXCLUDED,9902,62,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.111319,2026-05-31 00:03:11.089599,2026-05-31 00:03:11.089599
EXCLUDED,10452,62,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.639994,2026-05-31 00:03:17.619615,2026-05-31 00:03:17.619615
EXCLUDED,13250,62,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.660240,2026-06-30 00:20:13.636113,2026-06-30 00:20:13.636113
EXCLUDED,15055,62,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.227111,2026-07-31 00:04:54.193273,2026-07-31 00:04:54.193273
EXCLUDED,18311,62,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.228647,2026-09-03 12:08:38.180744,2026-09-03 12:08:38.180744
EXCLUDED,5198,62,246,1,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.554878,2026-05-01 12:15:58.547535,2026-05-01 12:15:58.547535
EXCLUDED,5208,62,248,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.612447,2026-05-01 12:15:58.609543,2026-05-01 12:15:58.609543
EXCLUDED,5214,66,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.135465,2026-05-01 12:25:01.307908,2026-05-31 01:03:07.112372
EXCLUDED,9927,66,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.234464,2026-05-31 00:03:11.213986,2026-05-31 00:03:11.213986
EXCLUDED,10453,66,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.665953,2026-05-31 00:03:17.647432,2026-05-31 00:03:17.647432
EXCLUDED,13251,66,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.691090,2026-06-30 00:20:13.667551,2026-06-30 00:20:13.667551
EXCLUDED,15056,66,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.280936,2026-07-31 00:04:54.243867,2026-07-31 00:04:54.243867
EXCLUDED,18312,66,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.299262,2026-09-03 12:08:38.249339,2026-09-03 12:08:38.249339
EXCLUDED,5199,66,246,1,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.557131,2026-05-01 12:15:58.547535,2026-05-01 12:15:58.547535
EXCLUDED,5209,66,248,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.614399,2026-05-01 12:15:58.609543,2026-05-01 12:15:58.609543
EXCLUDED,5215,70,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.222029,2026-05-01 12:25:01.307908,2026-05-31 01:03:07.195492
EXCLUDED,9935,70,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.308183,2026-05-31 00:03:11.287079,2026-05-31 00:03:11.287079
EXCLUDED,10454,70,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.692799,2026-05-31 00:03:17.672026,2026-05-31 00:03:17.672026
EXCLUDED,13252,70,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.721864,2026-06-30 00:20:13.697850,2026-06-30 00:20:13.697850
EXCLUDED,15057,70,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.333642,2026-07-31 00:04:54.294633,2026-07-31 00:04:54.294633
EXCLUDED,18313,70,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.365766,2026-09-03 12:08:38.327762,2026-09-03 12:08:38.327762
EXCLUDED,5200,70,246,1,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.559150,2026-05-01 12:15:58.547535,2026-05-01 12:15:58.547535
EXCLUDED,5210,70,248,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.616458,2026-05-01 12:15:58.609543,2026-05-01 12:15:58.609543
EXCLUDED,5216,74,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.295707,2026-05-01 12:25:01.307908,2026-05-31 01:03:07.275421
EXCLUDED,9953,74,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.398116,2026-05-31 00:03:11.377854,2026-05-31 00:03:11.377854
EXCLUDED,10455,74,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.719799,2026-05-31 00:03:17.699994,2026-05-31 00:03:17.699994
EXCLUDED,13253,74,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.754649,2026-06-30 00:20:13.729852,2026-06-30 00:20:13.729852
EXCLUDED,15058,74,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.376033,2026-07-31 00:04:54.346425,2026-07-31 00:04:54.346425
EXCLUDED,18314,74,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.418665,2026-09-03 12:08:38.383178,2026-09-03 12:08:38.383178
EXCLUDED,5201,74,246,1,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.561128,2026-05-01 12:15:58.547535,2026-05-01 12:15:58.547535
EXCLUDED,5211,74,248,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.618436,2026-05-01 12:15:58.609543,2026-05-01 12:15:58.609543
EXCLUDED,5217,78,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.370432,2026-05-01 12:25:01.307908,2026-05-31 01:03:07.351650
EXCLUDED,12925,78,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:08.198793,2026-06-30 00:20:08.187513,2026-06-30 00:20:08.187513
EXCLUDED,10456,78,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.746745,2026-05-31 00:03:17.726313,2026-05-31 00:03:17.726313
EXCLUDED,13254,78,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.795194,2026-06-30 00:20:13.762832,2026-06-30 00:20:13.762832
EXCLUDED,15059,78,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.422915,2026-07-31 00:04:54.388416,2026-07-31 00:04:54.388416
EXCLUDED,18315,78,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.484867,2026-09-03 12:08:38.445373,2026-09-03 12:08:38.445373
EXCLUDED,5202,78,246,1,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.563112,2026-05-01 12:15:58.547535,2026-05-01 12:15:58.547535
EXCLUDED,5207,78,247,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-02 01:00:31.521499,2026-05-01 12:15:58.608361,2026-05-02 01:00:31.496971
EXCLUDED,5212,78,248,2,regional,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-01 12:15:58.620267,2026-05-01 12:15:58.609543,2026-05-01 12:15:58.609543
EXCLUDED,5232,82,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.448405,2026-05-01 13:15:38.928230,2026-05-31 01:03:07.428171
EXCLUDED,9972,82,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.574381,2026-05-31 00:03:11.548740,2026-05-31 00:03:11.548740
EXCLUDED,10457,82,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.773361,2026-05-31 00:03:17.754404,2026-05-31 00:03:17.754404
EXCLUDED,13255,82,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.829302,2026-06-30 00:20:13.802306,2026-06-30 00:20:13.802306
EXCLUDED,15060,82,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.465584,2026-07-31 00:04:54.434067,2026-07-31 00:04:54.434067
EXCLUDED,18316,82,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.552349,2026-09-03 12:08:38.514383,2026-09-03 12:08:38.514383
EXCLUDED,5243,86,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.552519,2026-05-01 13:32:07.947873,2026-05-31 01:03:07.528958
EXCLUDED,9989,86,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.677950,2026-05-31 00:03:11.658006,2026-05-31 00:03:11.658006
EXCLUDED,10458,86,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.802993,2026-05-31 00:03:17.779126,2026-05-31 00:03:17.779126
EXCLUDED,13256,86,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.857460,2026-06-30 00:20:13.836069,2026-06-30 00:20:13.836069
EXCLUDED,15061,86,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.507817,2026-07-31 00:04:54.476612,2026-07-31 00:04:54.476612
EXCLUDED,18317,86,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.613496,2026-09-03 12:08:38.573497,2026-09-03 12:08:38.573497
EXCLUDED,5244,90,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.656415,2026-05-01 13:32:07.947873,2026-05-31 01:03:07.626303
EXCLUDED,10005,90,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.769420,2026-05-31 00:03:11.748137,2026-05-31 00:03:11.748137
EXCLUDED,10459,90,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.830381,2026-05-31 00:03:17.809740,2026-05-31 00:03:17.809740
EXCLUDED,13257,90,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.890779,2026-06-30 00:20:13.865046,2026-06-30 00:20:13.865046
EXCLUDED,15062,90,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.560434,2026-07-31 00:04:54.519820,2026-07-31 00:04:54.519820
EXCLUDED,18318,90,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.667759,2026-09-03 12:08:38.628674,2026-09-03 12:08:38.628674
EXCLUDED,5245,94,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.791116,2026-05-01 13:32:07.947873,2026-05-31 01:03:07.770871
EXCLUDED,10022,94,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.872896,2026-05-31 00:03:11.854130,2026-05-31 00:03:11.854130
EXCLUDED,10460,94,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.856238,2026-05-31 00:03:17.837686,2026-05-31 00:03:17.837686
EXCLUDED,13258,94,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.922175,2026-06-30 00:20:13.899177,2026-06-30 00:20:13.899177
EXCLUDED,15063,94,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.605217,2026-07-31 00:04:54.572031,2026-07-31 00:04:54.572031
EXCLUDED,18319,94,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.737246,2026-09-03 12:08:38.695127,2026-09-03 12:08:38.695127
EXCLUDED,5246,98,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.860131,2026-05-01 13:32:07.947873,2026-05-31 01:03:07.835318
EXCLUDED,10024,98,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:11.928097,2026-05-31 00:03:11.908272,2026-05-31 00:03:11.908272
EXCLUDED,10461,98,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.883195,2026-05-31 00:03:17.862297,2026-05-31 00:03:17.862297
EXCLUDED,13259,98,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.953810,2026-06-30 00:20:13.930849,2026-06-30 00:20:13.930849
EXCLUDED,15064,98,255,26,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-07-31 00:04:54.650464,2026-07-31 00:04:54.616241,2026-07-31 00:04:54.616241
EXCLUDED,18320,98,257,27,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-09-03 12:08:38.790239,2026-09-03 12:08:38.756019,2026-09-03 12:08:38.756019
EXCLUDED,5247,102,249,1,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 01:03:07.967843,2026-05-01 13:32:07.947873,2026-05-31 01:03:07.932301
EXCLUDED,10033,102,252,2,continent,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:12.010942,2026-05-31 00:03:11.991065,2026-05-31 00:03:11.991065
EXCLUDED,10462,102,241,4,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-05-31 00:03:17.912324,2026-05-31 00:03:17.890305,2026-05-31 00:03:17.890305
EXCLUDED,13260,102,253,21,country,True,3,B_ZERO_AUTHORITATIVE_MATCH/ZM_MISSING_GENUINE_MEMBERSHIP,no active membership in authoritative round 3; winner never chosen,2026-06-30 00:20:13.985289,2026-06-30 00:20:13.960642,2026-06-30 00:20:13.960642
